ride_id,started_at,ended_at,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,member_casual
C2258BFC71FDB12E,2022-01-31 23:38:38.761,2022-02-01 00:00:39.395,E 51 St & 2 Ave,W 106 St & Central Park West,40.755293,-73.967641,40.7981856,-73.9605909006,casual
4955CE23E2F9DE9D,2022-01-31 23:52:47.206,2022-02-01 00:03:32.274,2 Ave & E 29 St,Stanton St & Chrystie St,40.74172351097472,-73.97809267044067,40.72229346,-73.99147535,member
455A338F459CFFE3,2022-01-31 08:17:15.759,2022-02-01 09:17:03.931,Grand St & Greene St,,40.72170005235607,-74.00238141417502,,,member
0F3D2291560E3B13,2022-01-31 23:32:20.560,2022-02-01 00:16:28.903,34 Ave & 38 St,Mercer St & Bleecker St,40.756913,-73.921631,40.72706363348306,-73.99662137031554,member
FD737341EE76B7F7,2022-01-31 23:43:04.376,2022-02-01 00:01:57.796,Underhill Ave & Lincoln Pl,Parade Pl & Crooke Ave,40.6740123,-73.9671457,40.651847,-73.965248,member
2A4286C71F8B6954,2022-01-31 12:14:21.919,2022-02-01 13:14:15.122,MacDougal St & Prince St,,40.72710258,-74.00297088,,,member
C400370AE43A2FC6,2022-01-31 09:42:02.638,2022-02-01 07:02:09.550,Flushing Ave & Vanderbilt Ave,,40.69795031569544,-73.97077560424805,40.72,-73.95,casual
55C642BE46CAC1A5,2022-01-31 21:21:54.770,2022-02-01 04:17:27.730,Greenwich St & Perry St,Greenwich St & Perry St,40.73498,-74.00697,40.73498,-74.00697,member
9674F2B95C8C4116,2022-01-31 09:23:40.710,2022-02-01 10:23:36.077,Morgan Ave & Lombardy St,,40.72226,-73.93889,,,member
14593DC02CAF45B1,2022-01-31 23:50:20.742,2022-02-01 00:03:53.784,E 33 St & 1 Ave,E 11 St & 3 Ave,40.74322681432173,-73.97449783980846,40.73127,-73.98849,member
A4FF5FDF21068958,2022-01-31 13:13:54.062,2022-02-01 06:28:54.714,E 39 St & 2 Ave,E 39 St & 2 Ave,40.74803319428767,-73.973827958107,40.74803319428767,-73.973827958107,member
6B97CEC4F7BBD1FD,2022-01-31 23:36:33.782,2022-02-01 00:08:51.658,W 24 St & 7 Ave,W 24 St & 7 Ave,40.74487634,-73.99529885,40.74487634,-73.99529885,casual
3967CB83EFAFFA2D,2022-01-31 14:07:38.269,2022-02-01 15:07:36.125,Broadway & W 53 St,,40.76344058,-73.98268129,,,member
2D5F58D36196FD4E,2022-01-31 09:39:51.748,2022-02-01 10:39:45.402,E 60 St & York Ave,,40.759107,-73.959223,,,member
98A65100C1F57082,2022-01-31 23:29:10.894,2022-02-01 00:14:58.557,E 56 St & Madison Ave,E 55 St & 2 Ave,40.761573,-73.972628,40.75797322,-73.96603308,member
E41DD96312142A75,2022-01-31 17:54:26.302,2022-02-01 07:34:33.771,21 St & 23 Ave,21 St & Queens Plaza North,40.778557,-73.919046,40.75325964,-73.94335788,member
3201C4DD3AE5281A,2022-01-31 09:32:49.646,2022-02-01 10:32:42.144,11 Ave & W 41 St,,40.76030096,-73.99884222,,,member
F14C18388A5A7748,2022-01-31 23:52:07.333,2022-02-01 00:29:48.233,West End Ave & W 60 St,Leonard St & Boerum St,40.77237,-73.99005,40.70583339,-73.94644578,casual
0934EA41C303555A,2022-01-31 13:02:33.799,2022-02-01 14:02:20.239,Carlton Ave & Park Ave,,40.69580705,-73.97355569,,,member
D582F0C066150381,2022-01-31 07:36:25.646,2022-02-01 08:36:21.184,Engert Ave & McGuinness Blvd,,40.72158,-73.94546,,,member
D5992A4C24C9F1E1,2022-01-31 09:44:36.575,2022-02-01 10:44:22.590,3 Ave & E 62 St,,40.76312584,-73.96526895,,,casual
5282A9BC0B94AC5C,2022-01-31 12:59:55.610,2022-02-01 13:59:56.542,Graham Ave & Withers St,,40.7169811,-73.94485918,,,member
